"OBÈINE","VRSTA ODJEMALCA","2020M01 (zaèasni podatki)","2020M02 (zaèasni podatki)","2020M03 (zaèasni podatki)","2020M04 (zaèasni podatki)","2020M05 (zaèasni podatki)","2020M06 (zaèasni podatki)","2020M07 (zaèasni podatki)","2020M08 (zaèasni podatki)","2020M09 (zaèasni podatki)","2020M10 (zaèasni podatki)","2020M11 (zaèasni podatki)","2020M12 (zaèasni podatki)","2021M01 (zaèasni podatki)","2021M02 (zaèasni podatki)","2021M03 (zaèasni podatki)","2021M04 (zaèasni podatki)","2021M05 (zaèasni podatki)","2021M06 (zaèasni podatki)","2021M07 (zaèasni podatki)","2021M08 (zaèasni podatki)","2021M09 (zaèasni podatki)","2021M10 (zaèasni podatki)","2021M11 (zaèasni podatki)","2021M12 (zaèasni podatki)","2022M01 (zaèasni podatki)","2022M02 (zaèasni podatki)","2022M03 (zaèasni podatki)","2022M04 (zaèasni podatki)","2022M05 (zaèasni podatki)","2022M06 (zaèasni podatki)","2022M07 (zaèasni podatki)","2022M08 (zaèasni podatki)","2022M09 (zaèasni podatki)"
"Gornji Grad","Vrsta odjemalca - SKUPAJ",696262,611524,645603,553939,551167,535516,548324,540170,542921,616528,648737,751724,772229,638550,686410,608271,618223,589867,572251,553014,583425,627643,661460,810130,759095,630013,691007,600376,576613,575285,548393,537349,559794
"Gornji Grad","Gospodinjstva",439848,364830,396379,361555,343104,310472,315690,320219,306261,369678,408627,498831,476388,385681,401085,373342,347227,314450,309292,309599,303999,357806,378853,512358,452557,363207,388846,344042,306229,287279,291372,287163,288160
"Gornji Grad","Poslovni subjekti",256414,246694,249224,192384,208063,225044,232634,219951,236660,246850,240110,252893,295841,252869,285325,234929,270996,275417,262959,243415,279426,269837,282607,297772,306538,266806,302161,256334,270384,288006,257021,250186,271634
"Gornji Petrovci","Vrsta odjemalca - SKUPAJ",696100,654275,489527,440977,539159,559391,627194,618583,675533,691421,672114,781360,784577,706125,731687,668934,670569,624901,626746,584906,578480,660959,663157,741710,741204,642641,686732,604580,593715,583073,603566,526793,527485
"Gornji Petrovci","Gospodinjstva",310788,273873,289450,259576,298461,268075,258278,257129,255373,275010,292567,395613,349533,293180,301979,289260,286761,251898,260057,254958,254316,301223,312557,380524,359889,295076,314064,273700,244993,233705,255507,241558,237869
"Gornji Petrovci","Poslovni subjekti",385312,380402,200077,181401,240698,291316,368916,361454,420160,416411,379547,385747,435044,412945,429708,379674,383808,373003,366689,329948,324164,359736,350600,361186,381315,347565,372668,330880,348722,349368,348059,285235,289616
"Grad","Vrsta odjemalca - SKUPAJ",422788,355004,347665,421809,347409,337861,359034,354796,337605,346910,373828,439262,418542,365932,412426,348707,341702,325836,341261,340246,330000,355697,380327,483426,465702,382761,399899,347312,308945,301553,315441,319701,313017
"Grad","Gospodinjstva",323733,275236,271209,374636,276008,262012,274461,274661,257631,274086,308141,362222,342089,296537,320314,288851,272209,247593,263105,264931,247015,277412,295640,396890,368383,297698,312027,267860,238477,234189,248731,239514,235946
"Grad","Poslovni subjekti",99055,79768,76456,47173,71401,75849,84573,80135,79974,72824,65687,77040,76453,69395,92112,59856,69493,78243,78156,75315,82985,78285,84687,86536,97319,85063,87872,79452,70468,67364,66710,80187,77071
"Grosuplje","Vrsta odjemalca - SKUPAJ",9095720,8153564,8550833,7265828,6764470,6774818,7055172,6968093,7062503,8044562,8514548,9148722,9436711,8211861,8929291,8109390,7834001,7354167,7396893,7340783,7154616,8126055,8637118,9460520,9774120,8546705,9231345,8056025,7601076,7329991,6933846,6576926,7040895
"Grosuplje","Gospodinjstva",4066511,3273389,3585187,3088416,2801948,2472683,2392494,2461441,2532676,3123882,3764396,4388217,4509569,3546195,3722085,3334941,3013491,2506455,2378157,2426555,2493064,3302170,3665431,4578086,4533481,3622041,3765735,3157528,2628288,2400779,2315453,2326884,2509380
"Grosuplje","Poslovni subjekti",5029209,4880175,4965646,4177412,3962522,4302135,4662678,4506652,4529827,4920680,4750152,4760505,4927142,4665666,5207206,4774449,4820510,4847712,5018736,4914228,4661552,4823885,4971687,4882434,5240639,4924664,5465610,4898497,4972788,4929212,4618393,4250042,4531515
"Hajdina","Vrsta odjemalca - SKUPAJ",1455251,1196881,1238476,1136633,1100664,1067320,1125967,1111057,1139309,1384708,1263611,1548889,1403784,1238461,1271701,1186524,1143463,1124632,1129752,1073593,1086240,1399474,1469802,1646191,1521949,1263436,1410356,1187094,1085912,993365,1115750,1090743,1138152
"Hajdina","Gospodinjstva",769307,602943,645773,556974,510150,458930,464615,473280,452654,565869,676900,851117,811174,665629,673432,603458,518775,472016,460674,457162,450091,601695,670954,863879,835451,656357,697658,572764,466801,422823,455864,436853,446218
"Hajdina","Poslovni subjekti",685944,593938,592703,579659,590514,608390,661352,637777,686655,818839,586711,697772,592610,572832,598269,583066,624688,652616,669078,616431,636149,797779,798848,782312,686498,607079,712698,614330,619111,570542,659886,653890,691934
"Hoèe - Slivnica","Vrsta odjemalca - SKUPAJ",10478656,9427572,8752062,6906908,7805188,7468847,8109596,7878457,7611621,8210425,8363382,9413804,9002016,7948476,8696790,7967884,7673386,7726809,8084488,7911624,7680263,8477896,9171053,10561257,10427273,8900945,9832958,8392139,8317692,8474276,8559285,8215250,7834057
"Hoèe - Slivnica","Gospodinjstva",2956326,2373056,2489981,2090117,1905449,1672442,1725488,1699983,1694713,2131229,2578077,3240654,3241598,2623125,2629131,2374449,2006100,1749665,1682088,1694064,1714473,2273207,2674013,3383980,3334211,2616289,2755348,2266706,1781469,1634763,1697388,1689607,1792190
"Hoèe - Slivnica","Poslovni subjekti",7522330,7054516,6262081,4816791,5899739,5796405,6384108,6178474,5916908,6079196,5785305,6173150,5760418,5325351,6067659,5593435,5667286,5977144,6402400,6217560,5965790,6204689,6497040,7177277,7093062,6284656,7077610,6125433,6536223,6839513,6861897,6525643,6041867
"Hodoš/Hodos","Vrsta odjemalca - SKUPAJ",150955,116716,124016,99139,79203,98815,120433,120505,109832,114077,108756,137496,127786,113182,112580,99141,101408,95066,111118,107477,102899,121476,123256,137503,127366,108710,113728,91709,93768,100557,120458,110536,102105
"Hodoš/Hodos","Gospodinjstva",36479,32770,35639,34226,64610,35061,30167,34786,32757,28114,33134,42890,42568,36801,36812,34096,43981,30523,31596,32159,31283,35977,38101,44330,43624,36070,39431,30975,33989,31981,32545,33346,26482
"Hodoš/Hodos","Poslovni subjekti",114476,83946,88377,64913,14593,63754,90266,85719,77075,85963,75622,94606,85218,76381,75768,65045,57427,64543,79522,75318,71616,85499,85155,93173,83742,72640,74297,60734,59779,68576,87913,77190,75623
"Horjul","Vrsta odjemalca - SKUPAJ",1131155,1059052,1096040,903159,935241,929318,1009198,887938,1504618,669389,1140456,1103850,1233453,1102804,1218908,1122685,1103394,1121346,1087735,943615,1123799,1175169,1200389,1191764,1314124,1135969,1311442,1098429,1105548,1123588,1002634,921033,1053583
"Horjul","Gospodinjstva",461463,391730,429610,379176,359086,337024,330014,334580,341460,403055,437044,500177,507493,408186,426668,395169,363232,333861,330130,324076,332816,401923,420622,535907,503135,408597,439249,380961,349017,319546,318132,318156,333276
"Horjul","Poslovni subjekti",669692,667322,666430,523983,576155,592294,679184,553358,1163158,266334,703412,603673,725960,694618,792240,727516,740162,787485,757605,619539,790983,773246,779767,655857,810989,727372,872193,717468,756531,804042,684502,602877,720307
"Hrastnik","Vrsta odjemalca - SKUPAJ",8985061,8837763,9049332,8692045,8634614,7922727,8722192,8644572,7873051,7920205,8392161,8491299,8354484,8286388,9204002,7895646,8854083,9502856,9966616,9589808,10392244,9983035,9682651,9540068,8563938,7518849,9524453,9174286,9698741,9030510,10199301,9395568,9522722
"Hrastnik","Gospodinjstva",1413975,1255686,1352313,1303933,1239543,1139904,1145030,1134928,1149715,1231388,1374169,1483732,1490107,1314809,1371614,1402111,1301306,1139680,1160473,1133720,1173672,1300849,1367792,1463209,1425413,1354894,1405559,1221243,1108440,1092149,1098268,1063553,1002396
"Hrastnik","Poslovni subjekti",7571086,7582077,7697019,7388112,7395071,6782823,7577162,7509644,6723336,6688817,7017992,7007567,6864377,6971579,7832388,6493535,7552777,8363176,8806143,8456088,9218572,8682186,8314859,8076859,7138525,6163955,8118894,7953043,8590301,7938361,9101033,8332015,8520326
"Hrpelje - Kozina","Vrsta odjemalca - SKUPAJ",2527333,2318796,2233506,1716230,1879676,1936768,2057680,2062107,2086647,2171410,2110823,2257486,2361604,2145808,2320975,2044768,2560401,2187760,2299280,2205016,2161458,2264310,2445323,2843322,2713571,2511902,2655300,2349116,2237303,2261389,2286311,2112790,2194757
