"OBÈINE","VRSTA ODJEMALCA","2020M01 (zaèasni podatki)","2020M02 (zaèasni podatki)","2020M03 (zaèasni podatki)","2020M04 (zaèasni podatki)","2020M05 (zaèasni podatki)","2020M06 (zaèasni podatki)","2020M07 (zaèasni podatki)","2020M08 (zaèasni podatki)","2020M09 (zaèasni podatki)","2020M10 (zaèasni podatki)","2020M11 (zaèasni podatki)","2020M12 (zaèasni podatki)","2021M01 (zaèasni podatki)","2021M02 (zaèasni podatki)","2021M03 (zaèasni podatki)","2021M04 (zaèasni podatki)","2021M05 (zaèasni podatki)","2021M06 (zaèasni podatki)","2021M07 (zaèasni podatki)","2021M08 (zaèasni podatki)","2021M09 (zaèasni podatki)","2021M10 (zaèasni podatki)","2021M11 (zaèasni podatki)","2021M12 (zaèasni podatki)","2022M01 (zaèasni podatki)","2022M02 (zaèasni podatki)","2022M03 (zaèasni podatki)","2022M04 (zaèasni podatki)","2022M05 (zaèasni podatki)","2022M06 (zaèasni podatki)","2022M07 (zaèasni podatki)","2022M08 (zaèasni podatki)","2022M09 (zaèasni podatki)"
"Hrpelje - Kozina","Poslovni subjekti",1645036,1499713,1379449,997779,1035339,1273066,1392618,1381915,1394372,1389581,1280503,1283747,1339997,1306125,1393831,1264434,1388585,1487786,1584080,1518171,1478151,1555594,1597743,1751488,1635777,1575847,1678941,1493125,1504465,1592146,1659339,1506209,1554401
"Idrija","Vrsta odjemalca - SKUPAJ",7033891,6590491,6498721,5078357,4942752,5399294,6468804,5591256,6413432,6692685,6817433,6317993,6956271,6576272,7359457,6392208,6658609,6698467,7036496,5886525,6515149,6653788,6960066,6819325,7548776,6806552,7567789,5963700,6296629,6327411,6374791,5336852,6096223
"Idrija","Gospodinjstva",1840070,1571839,1714513,1617228,1559131,1440522,1426823,1388088,1408248,1636895,1905727,1910542,2031604,1881261,1870877,1685752,1599697,1362142,1328077,1324526,1347090,1661345,1765393,2139546,2134833,1790124,1863323,1595581,1395736,1211411,1243208,1218389,1329619
"Idrija","Poslovni subjekti",5193821,5018652,4784208,3461129,3383621,3958772,5041981,4203168,5005184,5055790,4911706,4407451,4924667,4695011,5488580,4706456,5058912,5336325,5708419,4561999,5168059,4992443,5194673,4679779,5413943,5016428,5704466,4368119,4900893,5116000,5131583,4118463,4766604
"Ig","Vrsta odjemalca - SKUPAJ",2310338,1954892,2083952,1799583,1697031,1600718,1605491,1629207,1667178,1978361,2177690,2413942,2526307,2077614,2210754,1976424,1815336,1678456,1621576,1652784,1698427,2044189,2231921,2514808,2468319,2035719,2156917,1865681,1709598,1580788,1532446,1518787,1631420
"Ig","Gospodinjstva",1544039,1248988,1375978,1189711,1074423,930346,909434,927172,950858,1213959,1413942,1624625,1707801,1353878,1399116,1263893,1122244,942422,906053,921410,938237,1232101,1399693,1696091,1680485,1354682,1397691,1198390,1032142,896951,884584,886960,958783
"Ig","Poslovni subjekti",766299,705904,707974,609872,622608,670372,696057,702035,716320,764402,763748,789317,818506,723736,811638,712531,693092,736034,715523,731374,760190,812088,832228,818717,787834,681037,759226,667291,677456,683837,647862,631827,672637
"Ilirska Bistrica","Vrsta odjemalca - SKUPAJ",11337613,10605799,11223849,6571597,8541872,9316256,10412400,8781442,10285916,10707829,10733993,10702396,11456252,10167417,11453175,10462205,10426319,9939219,10117649,8133705,9832467,10575511,10413368,10923488,11030801,9926383,10721755,9993214,9615701,9538292,9595570,7449773,9684047
"Ilirska Bistrica","Gospodinjstva",2054148,1799686,2022736,1724707,1719392,1573052,1597908,1619048,1589172,1832553,1918121,2225989,2261761,1852028,2287996,1880871,1773863,1570214,1577843,1553277,1547788,1832891,1868445,2278332,2203183,1900710,1933979,1797645,1610729,1518670,1527155,1431847,1525972
"Ilirska Bistrica","Poslovni subjekti",9283465,8806113,9201113,4846890,6822480,7743204,8814492,7162394,8696744,8875276,8815872,8476407,9194491,8315389,9165179,8581334,8652456,8369005,8539806,6580428,8284679,8742620,8544923,8645156,8827618,8025673,8787776,8195569,8004972,8019622,8068415,6017926,8158075
"Ivanèna Gorica","Vrsta odjemalca - SKUPAJ",6465003,5844139,6249264,5306225,5310482,5174962,5345870,4749588,5393846,5955173,6210777,6252371,6946238,5879487,6572384,5881237,5766837,5575550,5623590,4976518,5616942,6170050,6601841,6713057,7092496,6072082,6760205,5745620,5374880,5339414,5202345,4704931,5305263
"Ivanèna Gorica","Gospodinjstva",3069780,2611928,2879591,2473671,2376809,2096799,2093413,2111695,2111746,2581943,2947915,3457130,3513818,2809250,2922942,2689132,2436132,2200897,2111152,2135199,2125379,2703475,2911661,3542409,3524008,2854009,2994258,2550441,2219347,2063489,2031579,2043012,2086588
"Ivanèna Gorica","Poslovni subjekti",3395223,3232211,3369673,2832554,2933673,3078163,3252457,2637893,3282100,3373230,3262862,2795241,3432420,3070237,3649442,3192105,3330705,3374653,3512438,2841319,3491563,3466575,3690180,3170648,3568488,3218073,3765947,3195179,3155533,3275925,3170766,2661919,3218675
"Izola/Isola","Vrsta odjemalca - SKUPAJ",6973107,6311594,6181291,4876128,4879980,5209797,6188951,6393538,5581419,5476400,5681071,6580103,6898994,6128724,6348753,5835119,5356847,5878806,6487679,6216259,5380132,5713171,6111480,7402023,7509958,6787881,7220929,5920862,5357593,5953209,6623244,6158766,5215303
"Izola/Isola","Gospodinjstva",3660102,3220051,3388878,2851835,2534109,2297842,2554968,2689727,2344085,2607378,3110203,3755522,4034736,3629765,3679218,3279473,2690066,2527445,2718544,2639869,2273943,2732470,3087208,3933853,4080101,3642513,3750315,2951860,2307713,2354941,2757091,2555129,2091097
"Izola/Isola","Poslovni subjekti",3313005,3091543,2792413,2024293,2345871,2911955,3633983,3703811,3237334,2869022,2570868,2824581,2864258,2498959,2669535,2555646,2666781,3351361,3769135,3576390,3106189,2980701,3024272,3468170,3429857,3145368,3470614,2969002,3049880,3598268,3866153,3603637,3124206
"Jesenice","Vrsta odjemalca - SKUPAJ",6373327,5680989,5942598,5041965,4987874,4851415,4885114,5047974,5082081,5769450,6148759,6898952,7131211,6280055,6684044,5956040,5849761,5312896,5305157,5390668,5400086,6003878,6344202,6944873,7096005,6239809,6513785,5817545,5363174,5283495,5262114,5195663,5415084
"Jesenice","Gospodinjstva",3453311,2969447,3246327,2847510,2655666,2343281,2248490,2254205,2285291,2848879,3158810,3682615,3819789,3174412,3181469,2915126,2710996,2207732,2094377,2143222,2232637,2752545,3049379,3647832,3582312,3084037,3150584,2783181,2405318,2112762,2052394,2041497,2271036
"Jesenice","Poslovni subjekti",2920016,2711542,2696271,2194455,2332208,2508134,2636624,2793769,2796790,2920571,2989949,3216337,3311422,3105643,3502575,3040914,3138765,3105164,3210780,3247446,3167449,3251333,3294823,3297041,3513693,3155772,3363201,3034364,2957856,3170733,3209720,3154166,3144048
"Jezersko","Vrsta odjemalca - SKUPAJ",182155,165561,150477,128206,132251,136348,150038,161919,146959,155957,158347,180627,198906,173316,160328,147604,141882,138606,154389,160017,147137,166991,164075,220208,216143,190254,187861,157117,144741,145820,156519,159618,150112
"Jezersko","Gospodinjstva",120888,104688,107976,94152,88698,81780,87009,89874,84932,100431,111031,125254,137776,120975,110917,103015,90571,78595,84134,86646,81604,101074,104705,130291,127722,119247,118112,97702,83890,79943,81628,80623,84840
"Jezersko","Poslovni subjekti",61267,60873,42501,34054,43553,54568,63029,72045,62027,55526,47316,55373,61130,52341,49411,44589,51311,60011,70255,73371,65533,65917,59370,89917,88421,71007,69749,59415,60851,65877,74891,78995,65272
"Juršinci","Vrsta odjemalca - SKUPAJ",583650,479479,476191,415635,419177,396330,413081,420416,404200,469437,526193,608223,561470,527028,523276,478523,446111,431559,432464,434521,434833,511214,540367,637333,626976,526388,565094,496402,410030,414169,421624,404277,421578
"Juršinci","Gospodinjstva",448361,362858,381418,339839,339253,310007,322534,326926,303981,353179,398239,466733,449217,378272,388411,360490,329746,319432,322041,324548,316531,371339,381189,458731,453923,375601,402530,361364,299255,308014,315496,290916,305297
"Juršinci","Poslovni subjekti",135289,116621,94773,75796,79924,86323,90547,93490,100219,116258,127954,141490,112253,148756,134865,118033,116365,112127,110423,109973,118302,139875,159178,178602,173053,150787,162564,135038,110775,106155,106128,113361,116281
"Kamnik","Vrsta odjemalca - SKUPAJ",24129206,22828573,23821191,20210100,18561011,18531293,19452946,19789384,20238012,21391678,21164700,19986504,21939880,19927294,22075311,21110083,21146275,19869083,20339050,18810435,20351061,21135323,21750369,22332570,22317254,20356668,22958725,21100308,21209692,20152087,18850528,17124257,17809446
"Kamnik","Gospodinjstva",5019618,4183928,4542734,3943036,3739280,3307969,3206392,3279230,3346991,4194740,4723138,5374672,5575766,4499194,4659907,4210418,3846270,3318505,3122956,3236596,3292461,4116827,4577154,5607641,5555301,4502600,4701553,4082010,3486660,3163962,3081922,3077972,3336143
"Kamnik","Poslovni subjekti",19109588,18644645,19278457,16267064,14821731,15223324,16246554,16510154,16891021,17196938,16441562,14611832,16364114,15428100,17415404,16899665,17300005,16550578,17216094,15573839,17058600,17018496,17173215,16724929,16761953,15854068,18257172,17018298,17723032,16988125,15768606,14046285,14473303
"Kanal","Vrsta odjemalca - SKUPAJ",10299596,6843775,14676819,9473756,12466689,13464056,14080303,11066137,14290008,14780632,14521802,13973239,8087162,7053650,14058137,13233214,14879755,12742918,15719009,13162691,13818420,14207149,13755319,13136299,2030458,1676143,1795211,1438504,1458547,1460179,1509673,1290671,1353874
"Kanal","Gospodinjstva",972108,831714,869449,739665,679025,623657,613892,635119,602338,776612,860247,1012794,1105028,891370,889750,793250,724125,620632,599866,613130,575100,741416,824543,1056529,1061205,896083,888784,757750,620987,581781,627798,586704,566709
"Kanal","Poslovni subjekti",9327488,6012061,13807370,8734091,11787664,12840399,13466411,10431018,13687670,14004020,13661555,12960445,6982134,6162280,13168387,12439964,14155630,12122286,15119143,12549561,13243320,13465733,12930776,12079770,969253,780060,906427,680754,837560,878398,881875,703967,787165
"Kidrièevo","Vrsta odjemalca - SKUPAJ",2553401,2197770,2246632,1890095,1988534,1987574,2099619,2078138,2002728,2173652,2236786,2580048,2468341,2148663,2367784,2147192,2100684,2100189,2033074,2007089,1931014,2131195,2268079,2649398,2572702,2174816,2391093,2026853,1978623,1993946,1947971,1929355,1900932
"Kidrièevo","Gospodinjstva",1269252,1015560,1123863,993798,932528,853160,854986,865794,842311,987293,1106122,1403023,1280936,1045127,1119984,1009927,926092,866525,839782,842427,812300,978579,1086642,1370800,1299320,1046936,1126926,959912,827942,793916,809158,763514,802313
"Kidrièevo","Poslovni subjekti",1284149,1182210,1122769,896297,1056006,1134414,1244633,1212344,1160417,1186359,1130664,1177025,1187405,1103536,1247800,1137265,1174592,1233664,1193292,1164662,1118714,1152616,1181437,1278598,1273382,1127880,1264167,1066941,1150681,1200030,1138813,1165841,1098619
"Kobarid","Vrsta odjemalca - SKUPAJ",1703857,1541130,1571518,1287132,1291938,1309442,1570157,1478216,1534756,1560444,1507035,1612846,1697127,1451088,1551710,1426108,1453302,1513476,1654355,1538860,1544332,1554853,1587006,1779269,1776525,1528522,1665299,1462244,1487571,1509806,1640445,1486784,1471890
"Kobarid","Gospodinjstva",674535,572449,609133,532881,525061,477295,491964,507712,521154,573805,617929,731142,774965,622423,620623,588014,541725,464144,483234,512707,482321,567627,600734,785799,756081,619049,626662,563702,479600,447252,493384,484738,475534
"Kobarid","Poslovni subjekti",1029322,968681,962385,754251,766877,832147,1078193,970504,1013602,986639,889106,881704,922162,828665,931087,838094,911577,1049332,1171121,1026153,1062011,987226,986272,993470,1020444,909473,1038637,898542,1007971,1062554,1147061,1002046,996356
"Kobilje","Vrsta odjemalca - SKUPAJ",102848,87979,90630,81756,83634,82612,94874,91391,83726,94444,95470,115144,118409,103306,103375,92942,89233,88895,90738,88551,85838,100059,103969,133201,128859,105896,110458,96128,87179,86803,88237,92066,89691
"Kobilje","Gospodinjstva",80347,67939,73374,67112,66775,64769,69043,72263,65641,72748,77137,89636,87746,77453,78809,73119,70944,70341,72508,69938,66527,75657,78958,98871,97254,78469,84863,74844,68119,68272,69015,73026,70663
"Kobilje","Poslovni subjekti",22501,20040,17256,14644,16859,17843,25831,19128,18085,21696,18333,25508,30663,25853,24566,19823,18289,18554,18230,18613,19311,24402,25011,34330,31605,27427,25595,21284,19060,18531,19222,19040,19028
"Koèevje","Vrsta odjemalca - SKUPAJ",6589766,6228974,6128302,5772001,5471086,5551377,4665769,6398779,5903992,6232354,6308236,6617958,6713329,5962770,6693438,6860507,6603712,6116939,6259145,5666128,6025788,6572452,6808338,6901294,6695912,6517675,6932667,6325987,5512184,5082896,5007500,4798625,5112550
"Koèevje","Gospodinjstva",2264167,2044581,2122952,2237362,2044332,1898116,1884563,1848797,1871923,2099434,2358173,2426639,2450128,2131992,2212112,2679283,2285664,1945611,1897723,1823077,1792482,2155203,2343776,2659774,2450116,2476994,2441574,2183928,1961971,1792932,1766169,1761034,1799905
"Koèevje","Poslovni subjekti",4325599,4184393,4005350,3534639,3426754,3653261,2781206,4549982,4032069,4132920,3950063,4191319,4263201,3830778,4481326,4181224,4318048,4171328,4361422,3843051,4233306,4417249,4464562,4241520,4245796,4040681,4491093,4142059,3550213,3289964,3241331,3037591,3312645
"Komen","Vrsta odjemalca - SKUPAJ",1468705,1308425,1280193,898612,1055208,945049,1050116,1035143,1085519,1215609,1294399,1445880,1601335,1361063,1463931,1304268,1250995,1138343,1245426,1117026,1153332,1283389,1311221,1455839,1518072,1261543,1319965,1164787,1060684,1069159,1061796,991049,1022412
"Komen","Gospodinjstva",767663,652920,697585,572629,528715,485790,486608,512062,493243,640971,696595,854555,920396,732433,732941,657432,579839,473046,489961,493259,470411,625967,683842,853116,875509,738431,740581,629867,486969,450980,495508,473551,465204
"Komen","Poslovni subjekti",701042,655505,582608,325983,526493,459259,563508,523081,592276,574638,597804,591325,680939,628630,730990,646836,671156,665297,755465,623767,682921,657422,627379,602723,642563,523112,579384,534920,573715,618179,566288,517498,557208
"Komenda","Vrsta odjemalca - SKUPAJ",3802265,3468646,3550220,2950094,3060987,3038363,3403080,3275357,3587012,4113431,4220490,4454945,4570579,4066000,4550981,4099339,4089426,4110482,3970108,3867820,3977226,4348017,4652945,4918587,5063450,4477349,5067597,4257455,4422100,4515444,4007678,4198226,4356388
"Komenda","Gospodinjstva",1256937,1007233,1077713,911945,835089,734379,711763,741515,751309,981899,1157021,1349873,1404890,1095760,1126339,1001677,896121,748646,722576,742723,761816,1013738,1142158,1455474,1451256,1131101,1162367,976449,811372,732204,731591,723048,770474
"Komenda","Poslovni subjekti",2545328,2461413,2472507,2038149,2225898,2303984,2691317,2533842,2835703,3131532,3063469,3105072,3165689,2970240,3424642,3097662,3193305,3361836,3247532,3125097,3215410,3334279,3510787,3463113,3612194,3346248,3905230,3281006,3610728,3783240,3276087,3475178,3585914
"Koper/Capodistria","Vrsta odjemalca - SKUPAJ",29827429,27010925,26921653,20328197,21103116,22515777,24696332,24310764,24051549,25356250,25404719,28875213,29643836,24702213,31692048,25584876,24443955,25436341,26460694,25247166,24266948,25815302,27070890,29895440,30742772,30046704,27940777,24801625,24347922,26054980,26791626,25154966,23296772
"Koper/Capodistria","Gospodinjstva",11264728,9952434,10869850,8951246,8203515,7418028,7875866,8119792,7464941,8931327,9788903,11742184,12438945,11096003,11519455,9926994,8558821,8055772,8209866,8203893,7413584,9060973,10066981,12139190,12491072,13350665,9763654,9435892,7617581,7623045,8477763,7885147,6770293
"Koper/Capodistria","Poslovni subjekti",18562701,17058491,16051803,11376951,12899601,15097749,16820466,16190972,16586608,16424923,15615816,17133029,17204891,13606210,20172593,15657882,15885134,17380569,18250828,17043273,16853364,16754329,17003909,17756250,18251700,16696039,18177123,15365733,16730341,18431935,18313863,17269819,16526479
"Kostanjevica na Krki","Vrsta odjemalca - SKUPAJ",862166,724915,744874,570439,587214,593550,646127,634284,634699,738096,816344,866788,937523,823988,905975,797707,795277,785787,798261,737525,785002,878097,910912,972552,1065476,888964,1008213,870989,814800,766610,726748,668292,675259
"Kostanjevica na Krki","Gospodinjstva",457488,366495,387499,345671,330843,301984,311449,313915,304076,366896,417682,461439,474756,387999,397062,364894,336612,316882,311880,309205,298609,386282,408210,494990,493785,384302,410485,360159,303408,298577,305088,294849,297257
"Kostanjevica na Krki","Poslovni subjekti",404678,358420,357375,224768,256371,291566,334678,320369,330623,371200,398662,405349,462767,435989,508913,432813,458665,468905,486381,428320,486393,491815,502702,477562,571691,504662,597728,510830,511392,468033,421660,373443,378002
"Kostel","Vrsta odjemalca - SKUPAJ",187374,179377,171153,164748,171916,176739,198016,195237,192193,260987,186980,201948,207968,175616,212392,201414,204302,209664,220757,215705,216532,295935,201600,215453,219762,209415,231337,215914,209399,194687,220857,228070,177539
"Kostel","Gospodinjstva",104569,98921,101304,99377,102959,94027,96630,96861,93312,164822,103588,115084,114989,101024,112036,103480,109902,95902,101450,99907,102868,180788,111700,121328,134854,132002,131293,125627,104430,97151,107644,112729,94173
"Kostel","Poslovni subjekti",82805,80456,69849,65371,68957,82712,101386,98376,98881,96165,83392,86864,92979,74592,100356,97934,94400,113762,119307,115798,113664,115147,89900,94125,84908,77413,100044,90287,104969,97536,113213,115341,83366
"Kozje","Vrsta odjemalca - SKUPAJ",896020,780216,769272,687027,726529,708667,700805,762478,799527,843908,852099,965649,945875,819709,888387,797228,789329,787573,762222,799617,797018,872825,905461,1012798,1000188,822479,944917,797368,816651,811834,748050,772750,781674
"Kozje","Gospodinjstva",472520,397388,436673,399434,390835,368720,380059,388158,376718,418589,447708,563814,521433,429897,448033,424901,393377,379365,379476,382901,370393,432302,439124,555199,528935,411638,446797,407061,378726,360071,370497,360810,361525
"Kozje","Poslovni subjekti",423500,382828,332599,287593,335694,339947,320746,374320,422809,425319,404391,401835,424442,389812,440354,372327,395952,408208,382746,416716,426625,440523,466337,457599,471253,410841,498120,390307,437925,451763,377553,411940,420149
"Kranj","Vrsta odjemalca - SKUPAJ",29789598,27647758,25599790,19818798,22344641,23696532,22626259,25922506,26172657,27100834,26687523,27507097,29411335,26514226,28477198,25600175,26642184,25981100,22757940,26290179,26570012,28283915,29050507,29851544,31140906,28496693,30494127,26737846,27181331,27184902,24329637,26110930,26876594
"Kranj","Gospodinjstva",9028423,7690491,8276020,7253763,6908795,6221590,5872738,5956825,5993999,7352637,8303014,9548332,10220500,8329250,8424466,7605872,7126231,5984506,5648156,5737406,5844044,7383872,8254495,9849142,9848166,8203231,8461716,7319554,6273191,5580272,5482370,5528723,5952928
"Kranj","Poslovni subjekti",20761175,19957267,17323770,12565035,15435846,17474942,16753521,19965681,20178658,19748197,18384509,17958765,19190835,18184976,20052732,17994303,19515953,19996594,17109784,20552773,20725968,20900043,20796012,20002402,21292740,20293462,22032411,19418292,20908140,21604630,18847267,20582207,20923666
"Kranjska Gora","Vrsta odjemalca - SKUPAJ",4551430,4016695,2889177,1939931,1975756,2090955,2585275,2705890,2498241,2589887,2721102,3940589,3833790,3235511,3109880,2250783,2349484,2296280,2649577,2738420,2488793,2945775,3174604,5298487,5008687,4207373,3996538,2816396,2505035,2484206,2711703,2737588,2583767
"Kranjska Gora","Gospodinjstva",1663801,1469985,1339203,1098291,1050858,855510,894942,948292,884240,1097757,1286464,1780732,2025793,1612830,1484820,1183674,1082224,827840,861015,916937,857731,1174851,1333449,2146200,2098595,1750502,1609906,1191599,852618,778507,852630,871410,870912
"Kranjska Gora","Poslovni subjekti",2887629,2546710,1549974,841640,924898,1235445,1690333,1757598,1614001,1492130,1434638,2159857,1807997,1622681,1625060,1067109,1267260,1468440,1788562,1821483,1631062,1770924,1841155,3152287,2910092,2456871,2386632,1624797,1652417,1705699,1859073,1866178,1712855
"Križevci","Vrsta odjemalca - SKUPAJ",1492583,1288586,1327119,1171983,1165431,1153465,1190587,1181148,1144082,1336511,1320664,1462676,1477254,1285920,1373911,1216213,1206095,1158493,1171393,1193523,1160908,1344052,1383565,1598488,1558435,1303420,1397474,1222443,1149848,1119118,1160403,1187306,1143870
"Križevci","Gospodinjstva",706915,570190,598727,523762,493904,462357,481474,475674,446898,572439,624631,761250,729269,629133,655186,573957,538035,477384,472751,474853,427126,567060,616680,781147,741843,589974,638670,523704,447051,412331,430443,421173,413400
"Križevci","Poslovni subjekti",785668,718396,728392,648221,671527,691108,709113,705474,697184,764072,696033,701426,747985,656787,718725,642256,668060,681109,698642,718670,733782,776992,766885,817341,816592,713446,758804,698739,702797,706787,729960,766133,730470
"Krško","Vrsta odjemalca - SKUPAJ",25147978,22866381,22621227,17929374,19785751,16560665,20566200,22465351,23133183,23551871,22610739,22456311,23289087,20307999,20444486,19870390,17508115,19010705,10988714,9993052,10401704,11169983,12102810,19813274,17294441,15344584,16690455,16187508,16595426,15758858,13612754,11546759,12262324
"Krško","Gospodinjstva",4370818,3562783,3957126,3531803,3344492,3039009,3112508,3178002,3044318,3717118,4053800,4610355,4691216,3877054,4091803,3747401,3429320,3149859,3112036,3120508,3014623,3714230,3921292,4730296,4848740,3715778,4064284,3575211,3074840,2943918,3013487,2881987,2975784
"Krško","Poslovni subjekti",20777160,19303598,18664101,14397571,16441259,13521656,17453692,19287349,20088865,19834753,18556939,17845956,18597871,16430945,16352683,16122989,14078795,15860846,7876678,6872544,7387081,7455753,8181518,15082978,12445701,11628806,12626171,12612297,13520586,12814940,10599267,8664772,9286540
"Kungota","Vrsta odjemalca - SKUPAJ",1789225,1520251,1493523,1263488,1143987,1085226,1171885,1118518,1119553,1262089,1496999,1822900,1820101,1523368,1570700,1357508,1276804,1109864,1122405,1094459,1092949,1420211,1581648,2009415,1927245,1578829,1661393,1366903,1171397,1080808,1081399,1113610,1140496
"Kungota","Gospodinjstva",1411547,1215698,1220346,1039790,910221,829861,903744,847596,850871,995871,1236442,1518986,1524766,1250777,1270024,1098992,1012143,825835,847810,845368,819247,1101406,1252601,1641423,1557455,1264985,1318605,1068741,891693,805516,819672,839958,878811
"Kungota","Poslovni subjekti",377678,304553,273177,223698,233766,255365,268141,270922,268682,266218,260557,303914,295335,272591,300676,258516,264661,284029,274595,249091,273702,318805,329047,367992,369790,313844,342788,298162,279704,275292,261727,273652,261685
"Kuzma","Vrsta odjemalca - SKUPAJ",366011,314705,312314,300413,373660,285180,291614,290943,281972,321611,316149,409136,403087,342082,359287,329262,292520,290595,292802,278634,274069,305033,352466,426804,411286,346714,365631,316508,278637,266153,276183,266350,265520
"Kuzma","Gospodinjstva",261881,223550,225696,227638,254133,200514,206061,208303,198065,229604,230217,312024,303477,256831,268179,244926,225472,208473,210726,200493,195768,217484,255407,316477,305212,254034,266118,227932,195707,184062,192546,187663,188843
"Kuzma","Poslovni subjekti",104130,91155,86618,72775,119527,84666,85553,82640,83907,92007,85932,97112,99610,85251,91108,84336,67048,82122,82076,78141,78301,87549,97059,110327,106074,92680,99513,88576,82930,82091,83637,78687,76677
"Laško","Vrsta odjemalca - SKUPAJ",6260925,5868551,5450548,4416025,4863662,5570550,6207734,6799671,6280551,6140174,5560961,5904440,6044302,5622047,6356234,5683223,6427636,6693622,7000495,6761329,6605790,6673109,6277576,6948509,6842989,5949159,7091163,6326421,6542821,6657597,6765059,6552769,6081341
"Laško","Gospodinjstva",1995983,1712311,1840877,1686848,1657676,1540084,1565921,1563995,1619316,1751616,1910568,2157663,2145211,1787652,1852539,1720599,1663025,1545881,1533915,1542082,1552380,1766878,1849956,2196394,2189160,1715524,1888944,1673119,1500352,1442816,1467626,1425148,1406910
"Laško","Poslovni subjekti",4264942,4156240,3609671,2729177,3205986,4030466,4641813,5235676,4661235,4388558,3650393,3746777,3899091,3834395,4503695,3962624,4764611,5147741,5466580,5219247,5053410,4906231,4427620,4752115,4653829,4233635,5202219,4653302,5042469,5214781,5297433,5127621,4674431
"Lenart","Vrsta odjemalca - SKUPAJ",4457291,3861081,3877963,2677944,2808602,3125920,3197155,3256545,3426035,3722712,3938050,4191443,4233893,3806068,4193445,3604226,3568068,3402300,3475873,3166424,3187505,3710891,4127122,4421523,4441600,3880469,4158500,3514442,3351268,3394011,3387766,3409513,3522853
"Lenart","Gospodinjstva",1629763,1269846,1357854,1198204,1131417,1104528,1066627,1050447,1020413,1170792,1406124,1758630,1686311,1410794,1458972,1255940,1210242,971346,1025761,1003713,992771,1259769,1395876,1740162,1679465,1347172,1433404,1212345,1023839,949674,978308,959966,995738
"Lenart","Poslovni subjekti",2827528,2591235,2520109,1479740,1677185,2021392,2130528,2206098,2405622,2551920,2531926,2432813,2547582,2395274,2734473,2348286,2357826,2430954,2450112,2162711,2194734,2451122,2731246,2681361,2762135,2533297,2725096,2302097,2327429,2444337,2409458,2449547,2527115
"Lendava/Lendva","Vrsta odjemalca - SKUPAJ",9077953,8462266,8612497,7717392,8287730,8473472,4557038,8783433,8826096,9229461,8897380,9268454,9372262,8501926,9202444,8610798,8890294,8885820,5925457,8413192,8547347,8960366,8717356,9118472,9198007,8296350,9160516,8536160,8698474,8736055,5476150,8658507,8635095
"Lendava/Lendva","Gospodinjstva",1733664,1461540,1533914,1381226,1331054,1246575,1250343,1294369,1219630,1425807,1583283,1796770,1794602,1564794,1582756,1466530,1355395,1270470,1288186,1256990,1233847,1500067,1595251,1891870,1893086,1539100,1642363,1423620,1262008,1171239,1229885,1216096,1223025
"Lendava/Lendva","Poslovni subjekti",7344289,7000726,7078583,6336166,6956676,7226897,3306695,7489064,7606466,7803654,7314097,7471684,7577660,6937132,7619688,7144268,7534899,7615350,4637271,7156202,7313500,7460299,7122105,7226602,7304921,6757250,7518153,7112540,7436466,7564816,4246265,7442411,7412070
"Litija","Vrsta odjemalca - SKUPAJ",8254962,7632647,7560600,6501981,6319671,6352259,7412547,6169824,7559648,8264828,8031955,7906997,8231632,7587666,8282627,7952550,8001984,7626153,7518518,6227522,7458020,7961822,8267673,8565295,8399068,7880841,8412782,7332207,7482868,7273459,7490942,6061313,6968587
"Litija","Gospodinjstva",2583966,2194540,2401759,2373270,2164396,1990626,1993947,2002862,2034858,2327494,2478181,2695304,2815730,2366728,2492623,2712353,2571835,2101650,2042474,2033674,2108333,2304511,2565088,2877501,2770692,2574783,2601776,2291376,2129946,1949181,1942344,1916980,1895148
"Litija","Poslovni subjekti",5670996,5438107,5158841,4128711,4155275,4361633,5418600,4166962,5524790,5937334,5553774,5211693,5415902,5220938,5790004,5240197,5430149,5524503,5476044,4193848,5349687,5657311,5702585,5687794,5628376,5306058,5811006,5040831,5352922,5324278,5548598,4144333,5073439
"Ljubljana","Vrsta odjemalca - SKUPAJ",152486004,140541328,137903356,113682916,123720392,130645823,143920562,139314747,137287229,137600339,133928193,138769647,144039887,129761752,144773188,134244386,138965302,144924338,150723168,144382311,138809198,144925746,144838265,154316662,155643238,137449903,150278248,136220502,142665739,148564119,149079784,146900993,136862703
"Ljubljana","Gospodinjstva",41191463,35880441,38580490,35879932,34199304,30589230,30846778,30937785,30528172,35526851,39289443,42908628,44882212,38425960,40729738,37760035,36230349,31690743,30842383,30469623,30472279,36870975,39067805,43740651,44191370,38560128,39578264,35366275,32214653,30350999,30549644,29801299,29899279
"Ljubljana","Poslovni subjekti",111294541,104660887,99322866,77802984,89521088,100056593,113073784,108376962,106759057,102073488,94638750,95861019,99157675,91335792,104043450,96484351,102734953,113233595,119880785,113912688,108336919,108054771,105770460,110576011,111451868,98889775,110699984,100854227,110451086,118213120,118530140,117099694,106963424
"Ljubno","Vrsta odjemalca - SKUPAJ",2410547,2389446,2257817,1274644,1215837,1453513,1525533,2159462,2210609,2315534,2335347,2294762,2611704,2289902,2623072,2236216,2365369,2337469,1613884,2175867,1991141,1930401,1980206,2346045,2557165,2270953,2386630,1902782,2218585,2256199,1477186,2337665,2114944
