"OBÈINE","SKD DEJAVNOST","2020M01 (zaèasni podatki)","2020M02 (zaèasni podatki)","2020M03 (zaèasni podatki)","2020M04 (zaèasni podatki)","2020M05 (zaèasni podatki)","2020M06 (zaèasni podatki)","2020M07 (zaèasni podatki)","2020M08 (zaèasni podatki)","2020M09 (zaèasni podatki)","2020M10 (zaèasni podatki)","2020M11 (zaèasni podatki)","2020M12 (zaèasni podatki)","2021M01 (zaèasni podatki)","2021M02 (zaèasni podatki)","2021M03 (zaèasni podatki)","2021M04 (zaèasni podatki)","2021M05 (zaèasni podatki)","2021M06 (zaèasni podatki)","2021M07 (zaèasni podatki)","2021M08 (zaèasni podatki)","2021M09 (zaèasni podatki)","2021M10 (zaèasni podatki)","2021M11 (zaèasni podatki)","2021M12 (zaèasni podatki)","2022M01 (zaèasni podatki)","2022M02 (zaèasni podatki)","2022M03 (zaèasni podatki)","2022M04 (zaèasni podatki)","2022M05 (zaèasni podatki)","2022M06 (zaèasni podatki)","2022M07 (zaèasni podatki)","2022M08 (zaèasni podatki)","2022M09 (zaèasni podatki)"
"Komen","S Druge dejavnosti",3137,2309,1805,867,1015,897,777,768,862,1268,1302,1951,2258,1821,1859,1312,1064,1140,1155,991,1110,1569,2273,3524,3907,3106,3055,2235,1598,1198,1278,1311,1327
"Komen","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Komen","U Dejavnost eksteritorialnih organizacij in teles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Komen","X Neznano",27257,12103,15162,10055,10069,7462,8341,8335,8228,10345,10508,13704,16924,16339,13724,10460,8535,4018,5821,6063,6382,8953,11861,16870,19919,16436,15783,10673,7334,6007,5763,5846,5760
"Komenda","SKD Dejavnost - SKUPAJ",2545328,2461413,2472507,2038149,2225898,2303984,2691317,2533842,2835703,3131532,3063469,3105072,3165689,2970240,3424642,3097662,3193305,3361836,3247532,3125097,3215410,3334279,3510787,3463113,3612194,3346248,3905230,3281006,3610728,3783240,3276087,3475178,3585914
"Komenda","A Kmetijstvo in lov, gozdarstvo, ribištvo",19180,14441,18266,12040,13118,15409,17174,20762,11794,20459,13130,21885,17557,13006,22244,14313,16654,15824,21688,13742,14914,15689,15488,20918,18190,18577,17797,18046,13744,18822,19239,15916,13455
"Komenda","B Rudarstvo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Komenda","C Predelovalne dejavnosti",1113800,1063749,1080791,807119,931959,1006504,1175122,1185046,1428059,1562037,1588455,1397402,1616852,1500967,1717586,1461845,1547891,1566283,1592756,1736901,1749043,1744246,1758649,1575301,1853701,1746192,2086879,1696622,1890366,1972683,1503086,1862054,1843205
"Komenda","D Oskrba z elektrièno energijo, plinom in paro",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Komenda","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Komenda","F Gradbeništvo",99022,83947,83208,56739,47334,47516,48064,43458,48232,57205,66454,73350,80355,68691,69657,62213,63115,57746,60115,57910,58875,75512,102374,119268,117950,103192,105306,77895,66768,70093,66194,69476,69563
"Komenda","G Trgovina, vzdrževanje in popravila motornih vozil",391818,392582,420427,375357,375539,416610,470207,487502,450315,509290,504417,576495,616293,588684,676542,646803,636060,674496,502874,485812,451542,500985,532111,544858,524091,455535,493708,453683,462924,520450,548295,527867,499757
"Komenda","H Promet in skladišèenje",95967,93751,98129,94068,103440,107621,117141,117043,108432,114703,112669,103398,106303,97031,105567,101609,104118,116493,121703,115190,106555,122221,123215,127660,130375,117285,128664,117188,125397,126659,132782,128185,117485
"Komenda","I Gostinstvo",71679,63061,45443,31521,45150,65331,70748,71767,59478,56614,46404,53740,46086,34440,51582,52482,61531,74181,78555,72225,57111,56174,56559,64069,59698,55279,62681,56213,59394,64498,63245,65353,55758
"Komenda","J Informacijske in komunikacijske dejavnosti",17407,16444,17500,17105,17759,17484,18405,18549,17462,17562,16848,17170,17151,15553,17020,16465,17184,17625,18206,18106,17436,17597,16852,17177,16929,15279,17274,16928,17936,17875,18602,18490,17300
